model_id,open_model_status,total_params_b,active_params_b,active_params_status,license,primary_source_1,primary_source_2,notes,collected_at_utc
openai/gpt-oss-120b,open_weights,117,5.1,reported,apache-2.0,https://developers.openai.com/api/docs/models/gpt-oss-120b,,"OpenAI model page states 117B parameters with 5.1B active parameters and Apache 2.0 license.",2026-03-02T00:00:00Z
prime-intellect/intellect-3,open_source,106,12,reported,mit+apache-2.0,https://huggingface.co/PrimeIntellect/INTELLECT-3,,"Model card states 106B total parameters with 12B active parameters and permissive MIT plus Apache 2.0 licensing.",2026-03-02T00:00:00Z
z-ai/glm-5,open_source,744,40,reported,mit,https://huggingface.co/zai-org/GLM-5,,"Model card states GLM-5 scales to 744B parameters with 40B active parameters under an MIT license.",2026-03-02T00:00:00Z
baidu/ernie-4.5-300b-a47b,open_source,300,47,reported,apache-2.0,https://huggingface.co/baidu/ERNIE-4.5-300B-A47B-PT,,"Model card states 300B total parameters with 47B activated parameters and Apache 2.0 license.",2026-03-02T00:00:00Z
deepseek/deepseek-v3.2,open_source,685,37,derived_from_first_party,mit,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,https://github.com/deepseek-ai/DeepSeek-V3,"V3.2 card shows a 685B model size and MIT license. Active parameters are carried over from first-party DeepSeek V3 family evidence: 37B active parameters for the architecture family.",2026-03-02T00:00:00Z
google/gemma-3-27b-it,open_weights,27,,not_disclosed,gemma,https://huggingface.co/google/gemma-3-27b-it,,"Gemma model card states 27B parameters under the Gemma license. Active parameter count is not explicitly disclosed.",2026-03-02T00:00:00Z
qwen/qwen3.5-397b-a17b,open_source,397,17,reported,apache-2.0,https://huggingface.co/Qwen/Qwen3.5-397B-A17B,,"Model card states 397B total parameters with 17B activated parameters and Apache 2.0 license.",2026-03-02T00:00:00Z
moonshotai/kimi-k2.5,open_source,1000,32,reported,modified-mit,https://huggingface.co/moonshotai/Kimi-K2.5,,"Model page states 1T total parameters with 32B activated parameters under a modified MIT license.",2026-03-02T00:00:00Z
xiaomi/mimo-v2-flash,open_source,309,15,reported,mit,https://huggingface.co/XiaomiMiMo/MiMo-V2-Flash,,"Model card lists 309B total parameters with 15B active parameters and MIT license.",2026-03-02T00:00:00Z
minimax/minimax-m2.5,open_weights,229,,not_disclosed,modified-mit,https://huggingface.co/MiniMaxAI/MiniMax-M2.5,,"Model page states a 229B model size under a modified MIT license. Active parameter count is not explicitly disclosed.",2026-03-02T00:00:00Z
meta-llama/llama-3.1-8b-instruct,open_weights,8,8,dense_equals_total,llama3.1,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,https://ai.meta.com/blog/meta-llama-3-1/,"Official Meta Llama 3.1 sources cover the 8B model family and the benchmarked instruct variant uses the official Meta weights. Active parameters are set equal to total because Llama 3.1 8B is a dense model rather than MoE.",2026-03-07T00:00:00Z
meta-llama/llama-4-maverick,open_weights,400,17,reported,llama4,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Original,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,"Official Meta Llama 4 Maverick sources state 17B activated parameters, 400B total parameters, and 128 experts. The benchmarked alias resolves to the same Maverick 17Bx128E family.",2026-03-07T00:00:00Z
meta-llama/llama-4-scout,open_weights,109,17,reported,llama4,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,"Official Meta Llama 4 Scout sources state 17B activated parameters, 109B total parameters, and 16 experts. The benchmarked alias resolves to the same Scout 17Bx16E family.",2026-03-07T00:00:00Z
x-ai/grok-4.20-beta,closed,,,not_disclosed,proprietary,https://docs.x.ai/developers/models,,"xAI model docs list Grok 4.20 Beta but do not disclose parameter counts or public licensing terms.",2026-03-12T15:11:49Z
x-ai/grok-4.20-multi-agent-beta,closed,,,not_disclosed,proprietary,https://docs.x.ai/developers/models,,"xAI model docs list Grok 4.20 Multi Agent Beta but do not disclose parameter counts or public licensing terms.",2026-03-12T15:11:49Z
